support,itemsets
0.19501031135254765,"frozenset({'runtime_runtime=(-0.001, 20.0]', 'popularity_popularity=(-0.001, 0.0997]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.05457471958150999,"frozenset({'runtime_runtime=(-0.001, 20.0]', 'popularity_popularity=(-0.001, 0.0997]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.06382978723404255,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(-0.001, 20.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.07600221316835169,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(-0.001, 20.0]'})"
0.050953171369649414,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(-0.001, 20.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.02389215834213571,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(-0.001, 20.0]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.2986771289170565,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(-0.001, 20.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.2261455661184045,"frozenset({'runtime_runtime=(-0.001, 20.0]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.07011719732407827,"frozenset({'runtime_runtime=(-0.001, 20.0]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.035058598662039135,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(-0.001, 20.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.02454604899149942,"frozenset({'runtime_runtime=(-0.001, 20.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.24988682661837935,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(-0.001, 20.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
